INDEX_NUMBER,STATENAME,SCH_NAME,WEBSITE
587,ALABAMA,W S Neal Middle School,http://www.escambiak12.net
588,ALABAMA,Rachel Patterson Elementary School,http://www.escambiak12.net
592,ALABAMA,Glencoe Elementary School,http://www.ecboe.org
594,ALABAMA,Hokes Bluff Elementary School,http://www.ecboe.org
598,ALABAMA,Highland Elementary School,http://www.ecboe.org
603,ALABAMA,Whitesboro Elementary School,http://www.ecboe.org
604,ALABAMA,Etowah County Special Education Learning Center,http://www.ecboe.org
605,ALABAMA,The Etowah County Refocus Center,http://www.ecboe.org
606,ALABAMA,Career Technical Center,http://www.ecboe.org
609,ALABAMA,Southside Elementary School,http://www.ecboe.org
610,ALABAMA,Hokes Bluff High School,http://www.ecboe.org
614,ALABAMA,Moorer Middle School,http://www.eufaulacityschools.org/
615,ALABAMA,Eufaula Primary School,http://www.eufaulacityschools.org/
616,ALABAMA,Eufaula Elementary School,http://www.eufaulacityschools.org/
618,ALABAMA,Alabama Virtual Academy at Eufaula City Schools,http://www.nonesupplied.com
619,ALABAMA,C J Donald Middle School,http://www.fairfield.cyberschool.com
621,ALABAMA,Glen Oaks Elementary School,http://www.fairfield.cyberschool.com
622,ALABAMA,Robinson Primary School,http://www.fairfield.cyberschool.com
623,ALABAMA,Fairfield Alternative School,http://www.fairfield.cyberschool.com
624,ALABAMA,Fairfield Area Vocational School,
625,ALABAMA,Berry High School,http://www.fayette.k12.al.us
626,ALABAMA,Fayette Middle School,http://www.fayette.k12.al.us
627,ALABAMA,Hubbertville School,http://www.fayette.k12.al.us
628,ALABAMA,Berry Elementary School,http://www.fayette.k12.al.us
629,ALABAMA,Fayette Elementary School,http://www.fayette.k12.al.us
630,ALABAMA,Fayette County High School,http://www.fayette.k12.al.us
637,ALABAMA,Florence Learning Center,
640,ALABAMA,Fort Payne High School,http://www.ftpayk12.org
641,ALABAMA,Williams Avenue Elementary School,http://www.ftpayk12.org
642,ALABAMA,Wills Valley Elementary School,http://www.ftpayk12.org
643,ALABAMA,Fort Payne Middle School,http://www.ftpayk12.org
645,ALABAMA,Belgreen High School,http://www.franklin.k12.al.us
647,ALABAMA,Phil Campbell High School,http://www.franklin.k12.al.us
648,ALABAMA,Red Bay High School,http://www.franklin.k12.al.us
649,ALABAMA,Tharptown Elementary School,http://www.franklin.k12.al.us
653,ALABAMA,Tharptown High School,http://www.franklin.k12.al.us
663,ALABAMA,C I T Y Program,
665,ALABAMA,Gadsden City Alternative School,
673,ALABAMA,Geneva County High School,
674,ALABAMA,Samson High School,
676,ALABAMA,Samson Elementary School,
679,ALABAMA,Geneva County Middle School,
680,ALABAMA,Slocomb Elementary School,
683,ALABAMA,Greene County High School,http://greene.k12.al.us
684,ALABAMA,Peter J Kirksey Career Center,http://www.greene.k12.al.us
685,ALABAMA,Eutaw Primary School,http://www.greene.k12.al.us
686,ALABAMA,Robert Brown Middle School,http://greene.k12.al.us
687,ALABAMA,Greene County Career Center,http://www.greene.k12.al.us
693,ALABAMA,Moundville Elementary School,http://www.halek12.org
694,ALABAMA,College and Career Academy,http://www.halek12.org
695,ALABAMA,Greensboro Middle School,http://www.halek12.org
698,ALABAMA,Hale County Middle School,http://www.halek12.org
699,ALABAMA,Haleyville High School,http://www.haley-k12.us
700,ALABAMA,Haleyville Center Of Technology,http://www.haley-k12.us
701,ALABAMA,Haleyville Elementary School,http://www.haley-k12.us
702,ALABAMA,Haleyville Middle School,http://www.haley-k12.us
703,ALABAMA,Barkley Bridge Elementary School,http://hartselletigers.org
705,ALABAMA,FE Burleson Elementary School,http://hartselletigers.org
706,ALABAMA,Hartselle Junior High School,http://hartselletigers.org
707,ALABAMA,Hartselle High School,http://hartselletigers.org
720,ALABAMA,Ashford High School,http://www.hcboe.us
721,ALABAMA,Cottonwood High School,http://www.hcboe.us
722,ALABAMA,Houston County High School,http://www.hcboe.us
723,ALABAMA,Rehobeth High School,http://www.hcboe.us
724,ALABAMA,Webb Elementary School,http://www.hcboe.us
725,ALABAMA,Wicksburg High School,http://www.hcboe.us
726,ALABAMA,Houston County Alternative School,http://www.hcboe.us
727,ALABAMA,Houston County Area Vocational Center,http://www.hcboe.us
728,ALABAMA,Ashford Elementary School,http://www.hcboe.us
730,ALABAMA,Rehobeth Elementary School,http://www.hcboe.us
731,ALABAMA,Houston County Virtual Academy,http://www.hcboe.us
732,ALABAMA,Wicksburg Elementary School,http://www.hcboe.us
733,ALABAMA,Cottonwood Elementary School,http://www.hcboe.us
734,ALABAMA,Ashford Middle School,http://www.hcboe.us
735,ALABAMA,Hampton Cove Elementary,http://www.huntsvillecityschools.org
736,ALABAMA,Blossomwood Elementary School,http://www.huntsvillecityschools.org
737,ALABAMA,Academy For Academics  Arts Elementary School,http://www.huntsvillecityschools.org
738,ALABAMA,Roger B Chaffee Elementary School,http://www.huntsvillecityschools.org
